140_PP 140_485 CC,Center,Type,Revice Date(RD),FP Notice Date,Days from RD to FP Notice Date,,FP Date,Walk in?,Location,AP_EAD AD,Days from RD to AP_EAD AD,485 AD,Days from RD,Days from FP Date to 485 AD,Days from RD to 485 AD
"PP, non CC",NSC,EB1A,7/21/16,8/13/16,23,9/1/16,8/19/16,yes,CA,,,,,,
"PP, non CC",NSC,EB1B,7/21/16,8/13/16,23,9/1/16,8/19/16,yes,CA,8/31/16,41,Blessing,308,,
"PP, non CC",NSC,EB1B,7/21/16,8/13/16,23,9/1/16,8/19/16,yes,CA,9/23/16,64,Blessing,308,,
PP+CC,NSC,EB1B,7/20/16,7/30/16,10,8/17/16,8/17/16,yes,NY,8/12/16,23,2/6/17,201,,
"PP, non CC",NSC,EB1A,7/19/16,8/12/16,24,8/29/16,8/29/16,No,AZ,8/24/16,36,Blessing,310,,
"PP, non CC",NSC,EB1A,7/19/16,8/12/16,24,8/29/16,8/29/16,No,AZ,8/24/16,36,Blessing,310,,
"pp,non CC",NSC,EB1A,7/19/16,8/18/16,,8/30/16,8/30/16,No,CA,8/31/16,43,Blessing,310,,
"PP, non CC",NSC,EB1A,7/18/16,8/13/16,26,8/29/16,8/29/16,no,WA,8/31/16,44,Blessing,311,,
"PP, non CC",NSC,EB1A,7/18/16,8/13/16,26,8/29/16,8/29/16,no,WA,8/22/16,35,Blessing,311,,
"PP, non CC",NSC,EB1A,7/18/16,8/13/16,26,8/29/16,8/29/16,no,WA,8/22/16,35,Blessing,311,,
"non PP, non CC",NSC,EB1B,7/13/16,8/6/16,24,8/22/16,8/15/16,Yes,CA,8/17/16,35,Blessing,316,,
"PP, non CC",NSC,EB1A,7/11/16,8/6/16,26,8/22/16,8/22/16,No,MI,8/17/16,37,Blessing,318,,
"PP, non CC",NSC,EB1A,7/11/16,8/6/16,26,8/22/16,8/22/16,No,MI,8/17/16,37,Blessing,318,,
"PP, non CC",TSC->NSC,EB1A,7/8/16,,,,,,CA,,,Blessing,321,,
"PP, non CC",TSC->NSC,EB1A,7/8/16,,,,,,CA,,,Blessing,321,,
"none PP, non CC",NSC,EB1 C,7/7/16,8/5/16,29,8/18/16,8/8/16,YES, IL,8/12/16,36,1/31/17,208,,
"none PP, none CC",NSC,EB1 C,7/7/16,8/5/16,29,8/18/16,8/8/16,Yes,IL,8/17/16,41,1/31/17,208,,
"PP, non CC",NSC,EB1B,7/7/16,8/6/16,30,8/23/16,8/23/16,NO,PA,8/17/16,41,Blessing,322,,
"PP, non CC",NSC,EB1B,7/7/16,8/6/16,30,8/23/16,8/23/16,NO,PA,9/28/16,83,Blessing,322,,
"PP, non CC",NSC,EB1B,7/1/16,7/30/16,29,8/17/16,8/17/16,NO,CA,8/1/16,31,1/12/17,195,,
"PP, non CC",NSC,EB1A,6/27/16,7/23/16,#REF!,8/12/16,,YES,CA,8/2/16,36,12/31/16,187,,
"PP, non CC",NSC,EB1A,6/27/16,,26,8/12/16,,YES,CA,8/2/16,36,Blessing,332,,
"PP, non CC",NSC,EB1A,6/24/16,7/23/16,29,8/12/16,8/1/16,YES,CA,8/2/16,39,Blessing,335,,
"PP, non CC",NSC,EB1A,6/24/16,7/23/16,29,8/12/16,8/12/16,NO,MN,10/4/16,102,5/15/17,325,,
"PP, non CC",NSC,EB1A,6/24/16,7/22/16,28,8/12/16,8/12/16,NO,MN,8/9/16,46,5/15/17,325,,
"PP, non CC",NSC,EB1A,6/21/16,7/16/16,25,8/3/16,8/3/16,NO,CA,7/22/16,31,Blessing,338,,
"PP, non CC",NSC,EB1A,6/20/16,7/16/16,26,8/1/16,8/1/16,NO,MN,9/13/16,85,Blessing,339,,
"PP, non CC",NSC,EB1A,6/20/16,7/16/16,26,8/1/16,8/1/16,NO,MN,7/22/16,32,Blessing,339,,
"PP, non CC",NSC,EB1A,6/17/16,7/29/16,42,8/18/16,8/18/16,NO,NJ,9/6/16,81,Blessing,342,,
"PP, non CC",NSC,EB1A,6/17/16,7/17/16,30,8/2/16,7/22/16,YES,CA,7/22/16,35,2/3/17,231,,
"non PP, CC",NSC,EB1C,6/16/16,7/16/16,30,8/2/16,8/2/16,NO,CA,7/20/16,34,Blessing,343,,
"non PP, CC",NSC,EB1C,6/16/16,7/16/16,30,8/2/16,8/2/16,NO,CA,7/20/16,34,Blessing,343,,
"PP, non CC",NSC,EB1B,6/15/16,6/21/16,6,8/9/16,7/29/16,YES,MI,8/13/16,59,Blessing,344,,
"PP, non CC",NSC,EB1B,6/15/16,6/21/16,6,8/5/16,7/29/16,YES,MI,8/13/16,59,Blessing,344,,
"PP, non CC",NSC,EB1A,6/10/16,7/21/16,41,8/1/16,8/1/16,NO,CA,8/1/16,52,1/17/17,221,,
"PP, non CC",NSC,EB1A,6/10/16,7/15/16,35,7/28/16,7/28/16,NO,CA,8/1/16,52,12/27/16,200,,
"PP, non CC",NSC,EB1A,6/10/16,7/15/16,35,7/28/16,7/28/16,NO,MI,7/13/16,33,4/25/17,319,,
"PP, non CC",NSC,EB1B,6/10/16,7/14/16,34,7/25/16,,,WA,7/15/16,35,10/12/16,124,,
PP+CC,NSC,EB1B,6/10/16,6/24/16,14,7/12/16,7/12/16,NO,NY,7/1/16,21,Blessing,349,,
"PP, non CC",NSC,EB1B,6/10/16,,,,,,WA,7/15/16,35,Blessing,349,,
"PP, non CC",NSC,EB1A,6/9/16,7/15/16,36,7/29/16,,,MI,,,Blessing,350,,
"non PP, CC",TSC->NSC,EB1B,6/8/16,7/9/16,31,7/28/16,7/28/16,No,NJ,7/22/16,44,Blessing,351,,
"non pp, non CC",NSC,EB1B,6/8/16,7/9/16,31,7/29/16,7/25/16,Yes,CA,7/22/16,44,1/9/17,215,,
"non pp, non CC",TSC->NSC,EB1B,6/6/16,7/9/16,33,7/28/16,7/28/16,No,NY,7/22/16,46,10/31/16,147,98,147
"non pp, non CC",TSC->NSC,EB1B,6/6/16,7/9/16,33,7/27/16,7/27/16,No,NY,7/13/16,37,10/31/16,147,95,147
"pp, non CC",NSC,EB1A,6/6/16,,,7/27/16,7/27/16,NO,CA,7/27/16,51,4/24/17,322,,
"pp, non CC",NSC,EB1A,6/6/16,,,7/27/16,7/27/16,NO,CA,7/27/16,51,4/24/17,322,,
"pp, non CC",NSC,EB1B,6/6/16,,,,,,MD,,,Blessing,353,,
"PP, non CC",NSC,EB1A,6/2/16,7/8/16,36,7/27/16,7/27/16,No,CA,7/22/16,50,3/25/17,296,3/25/17,296
"PP, non CC",NSC,EB1A,6/2/16,7/8/16,36,7/27/16,7/27/16,No,CA,7/27/16,55,3/25/17,296,241,296
"non pp, non CC",NSC,EB1B,5/31/16,7/2/16,32,7/19/16,7/11/16,YES,IL,7/13/16,43,4/10/17,314,,
pp nonCC,NSC,EB1A,5/27/16,7/1/16,35,7/15/16,7/6/16,YES,CA,7/7/16,41,10/27/16,153,108,
pp nonCC,NSC,EB1A,5/27/16,7/1/16,35,7/15/16,7/6/16,YES,CA,7/7/16,41,10/27/16,153,113,
"PP, non CC",NSC,EB1B,5/27/16,6/24/16,28,7/13/16,7/5/16,Yes,CA,7/13/16,47,10/24/16,150,#REF!,
"PP, non CC",NSC,EB1B,5/27/16,6/24/16,28,7/13/16,7/5/16,Yes,CA,7/23/16,57,10/24/16,150,111,
PP,NSC,EB1b,5/25/16,6/24/16,30,7/6/16,7/6/16,No,UT,6/17/16,23,Blessing,365,,
,NSC,EB1b,5/25/16,6/24/16,30,,7/6/16,No,UT,6/17/16,23,Blessing,365,,
"non PP, non CC",TSC>NSC,EB1B,5/23/16,6/27/16,35,7/13/16,7/13/16,No,MD,6/27/16,35,Blessing,367,,
"PP, non CC",NSC,EB1B,5/23/16,6/27/16,35,7/14/16,7/14/16,No,MD,6/22/16,30,10/19/16,149,98,
"PP, non CC",NSC,EB1A,5/19/16,6/24/16,36,7/14/16,7/14/16,No,IL,6/27/16,39,10/11/16,145,89,
"PP, non CC",NSC,EB1A,5/16/16,6/17/16,32,7/5/16,6/23/16,yes,MN->FL,6/27/16,42,5/5/17,354,,
"PP, non CC",TSC->NSC,EB1A,5/13/16,6/17/16,35,7/5/16,7/5/16,No,NJ,7/7/16,55,2/2/17,265,212,265
"PP, non CC",TSC->NSC,EB1A,5/13/16,6/17/16,35,7/5/16,7/5/16,No,NJ,6/27/16,45,12/17/16,218,165,218
"PP, no CC",NSC,EB1b,5/12/16,6/27/16,46,7/15/16,7/15/16,No,NY,6/22/16,41,10/31/16,172,,
"PP, no CC",NSC,EB1A,5/10/16,6/11/16,32,7/1/16,6/17/16,Yes,MO,6/25/16,46,Blessing,380,,
"PP, no CC",NSC,EB1A,5/9/16,6/23/16,45,7/4/16,6/24/16,Yes,MO,8/9/16,92,Blessing,381,,
"PP, no CC",NSC,EB1A,5/9/16,6/23/16,45,7/4/16,6/24/16,Yes,MO,6/28/16,50,Blessing,381,,
,NSC,EB1b,5/9/16,6/4/16,26,6/23/16,6/10/16,Yes,OH,6/18/16,40,10/4/16,148,102,
"PP, non CC",NSC,EB1A,5/6/16,6/9/16,33,6/22/16,6/13/16,Yes,CA,6/17/16,42,Blessing,384,,
"PP, non CC",NSC,EB1A,5/6/16,6/9/16,33,6/22/16,6/13/16,Yes,CA,6/22/16,47,10/13/16,160,122,
"non PP, non CC",NSC,EB1B,5/6/16,6/11/16,36,6/27/16,6/27/16,No,CA,6/27/16,52,10/26/16,173,135,
"PP, non CC",NSC,EB1b,5/6/16,6/11/16,36,6/29/16,6/29/16,No,CA,6/24/16,49,2/3/17,273,,
"non PP, non CC",NSC,EB1B,5/6/16,6/11/16,36,6/28/16,6/27/16,Yes,CA,7/27/16,82,Blessing,384,,
"PP, non CC",NSC,EB1a,5/2/16,5/28/16,26,6/14/16,6/14/16,No,WA,6/17/16,46,10/13/16,164,108,
"PP, no CC",NSC,EB1A,5/2/16,5/27/16,25,6/16/16,6/16/16,No,IL,6/14/16,43,Blessing,388,,
"non PP, non CC",NSC,EB1B,5/2/16,5/28/16,26,6/14/16,6/13/16,No,AZ,6/10/16,39,10/24/16,175,130,
"PP,nonCC",NSC,EB1A,4/29/16,5/23/16,24,6/9/16,6/9/16,No,CA,,,10/6/16,160,115,
"PP, non CC",NSC,EB1A,4/29/16,5/23/16,24,6/10/16,6/10/16,No,NY,6/10/16,42,Blessing,160,,
"PP,nonCC",NSC,EB1A,29-Apr,,,,6/9/16,No,CA,,,Blessing,,,
"non PP, non CC",NSC,EB1A,4/28/16,5/28/16,30,6/14/16,6/14/16,No,MI,6/10/16,43,2/14/17,292,,
"PP, non CC",NSC,EB1A,4/28/16,5/14/16,16,6/3/16,5/23/16,Yes,CA,6/9/16,42,4/13/17,350,325,350
"non PP, non CC",NSC,EB1b,4/28/16,5/21/16,23,6/6/16,6/6/16,no,NY,6/10/16,43,Blessing,392,,
"PP, non CC",TSC>NSC,EB1b,4/27/16,5/21/16,24,6/6/16,6/6/16,No,CA,6/10/16,44,4/12/17,350,310,350
"PP, non CC",TSC>NSC,EB1b,4/27/16,5/20/16,23,6/6/16,6/6/16,No,MA,6/9/16,43,4/12/17,350,310,350
"PP,non CC",NSC,EB1A,4/27/16,5/23/16,24,6/10/16,6/10/16,No,CA,6/10/16,42,Blessing,148,,
"non PP, non CC",NSC,EB1b,4/27/16,5/24/16,27,6/9/16,6/6/16,Yes,NY,6/14/16,48,2/14/17,293,,
"non PP, non CC",NSC,EB1b,4/27/16,5/24/16,27,6/9/16,6/6/16,Yes,NY,6/10/16,42,2/14/17,293,,
"PP, non CC",NSC,Eb1b,4/25/16,5/21/16,27,6/6/16,5/31/16,Yes,CA,6/10/16,46,Blessing,395,,
"PP, non CC",NSC,Eb1b,4/25/16,5/21/16,26,6/6/16,6/1/16,Yes,CA,6/14/16,50,Blessing,395,,
"PP, non CC",NSC,EB1A,4/22/16,5/14/16,22,6/2/16,5/23/16,Yes,NY,6/14/16,53,10/14/16,175,135,
"PP, non CC",NSC,EB1A,4/22/16,5/14/16,22,6/2/16,5/23/16,Yes,NY,6/10/16,49,7/8/16,77,44,77
"PP, non CC",TSC>NSC,EB1a,4/21/16,5/19/16,28,6/1/16, ,no,NY,5/25/16,34,10/21/16,183,151,183
"PP, non CC",NSC,EB1B,4/21/16,5/14/16,23,6/3/16,5/20/16,Yes,CA,6/9/16,49,10/4/16,166,#VALUE!,166
"PP, non CC",NSC,EB1b,4/21/16,5/14/16,23,5/31/16,5/31/16,No,CA,5/25/16,34,Blessing,399,,
"PP, non CC",NSC,EB1a,4/20/16,5/24/16,29,,,,NY,,,3/1/17,315,,
"PP, non CC",NSC,EB1a,4/20/16,5/24/16,29,,,,NY,,,3/1/17,315,,
"non PP, non CC",NSC,Eb1C,4/20/16,5/14/16,24,6/1/16,6/1/16,No,CA,5/27/16,37,12/13/16,237,,
"PP, non CC",NSC,EB1A,4/19/16,5/7/16,18,5/23/16,5/24/16,No,CA,5/19/16,30,7/1/16,73,38,73
"PP, non CC",TSC>NSC,EB1a,4/15/16,5/14/16,30,6/3/16,6/3/16,Yes,MD,6/15/16,60,7/11/16,87,27,87
"non PP, CC",TSC>NSC,EB1B,4/15/16,5/7/16,22,5/23/16,5/23/16,No,NY,5/25/16,40,Blessing,405,,
"non PP, CC",TSC>NSC,EB1B,4/15/16,5/7/16,22,5/23/16,5/23/16,No,NY,5/25/16,40,Blessing,405,,
"PP, non CC",NSC,EB1a,4/15/16,5/14/16,29,6/2/16,5/23/16,Yes,CA,5/19/16,34,11/22/16,221,183,220
"PP, non CC",NSC,EB1a,4/15/16,5/14/16,29,6/2/16,5/23/16,Yes,CA,5/25/16,40,12/2/16,231,192,230
"PP, non CC",NSC,EB1a,4/15/16,5/14/16,29,6/1/16,6/1/16,No,MI,5/19/16,34,1/20/17,280,,
"PP, non CC",NSC,EB1B,4/15/16,5/14/16,29,6/3/16,5/24/16,Yes,CA,6/15/16,61,11/30/16,229,190,229
"PP, non CC",NSC,EB1a,4/14/16,5/7/16,26,5/23/16,5/23/16,No,CA,5/18/16,34,7/8/16,85,45,85
"PP, non CC",TSC>NSC,EB1A,4/11/16,5/7/16,26,5/23/16,5/23/16,No,OK,5/18/16,37,Blessing,409,,
"PP, non CC",TSC>NSC,EB1A,4/11/16,5/7/16,26,5/23/16,5/23/16,No,OK,5/19/16,38,Blessing,409,,
"PP, non CC",TSC>NSC,EB1a,4/11/16,,,5/27/16,5/27/16,No,NY,5/18/16,,12/19/16,,,
"PP, non CC",NSC,EB1A,4/11/16,5/6/16,25,5/25/16,5/25/16,No,CA,6/14/16,64,12/2/16,235,,
"PP, non CC",NSC,EB1A,4/11/16,5/6/16,25,5/25/16,5/25/16,No,CA,,,7/11/16,91,47,85
"PP, CC",NSC,EB1a,4/11/16,,,,,,WA,,,Blessing,409,,
"PP, non CC",NSC,EB1A,4/8/16,5/12/16,34,5/26/16,5/26/16,No,IL,5/25/16,47,Blessing,412,,
"PP, non CC",NSC,EB1A,4/7/16,5/7/16,30,5/25/16,5/25/16,No,CA,5/19/16,42,Blessing,413,,
"PP, non CC",NSC,EB1A,4/6/16,5/12/16,36,5/26/16,5/20/16,Yes,CA,6/14/16,69,Blessing,414,,
"non PP, non CC",NSC,EB1A,4/6/16,5/7/16,31,5/24/16,5/24/16,No,CA,5/17/16,41,7/7/16,92,44,92
"non PP, non CC",NSC,EB1A,4/6/16,5/7/16,31,5/24/16,5/24/16,No,CA,6/14/16,69,7/7/16,92,44,92
"PP, non CC",NSC,EB1A,4/6/16,5/12/16,36,5/25/16,5/25/16,No,IL,6/14/16,68,1/23/17,292,,
"PP, non CC",NSC,EB1A,4/6/16,5/12/16,36,5/25/16,5/25/16,No,OH,5/17/16,42,10/3/16,180,138,180
"PP, non CC",NSC,EB1B,4/4/16,4/30/16,26,5/20/16,5/20/16,Yes,OK,5/20/16,46,1/18/17,289,283,
"PP, non CC",NSC,EB1B,4/4/16,4/30/16,26,5/20/16,5/20/16,Yes,OK,5/20/16,46,1/18/17,289,283,
"PP,non CC",NSC,EB1A,4/1/16,5/7/16,36,5/23/16,5/13/16,Yes,CA,6/6/16,66,Blessing,419,,
"PP, non CC",TSC->NSC,EB1A,3/31/16,4/30/16,30,5/20/16,5/20/16,No,PA,5/17/16,47,Blessing,420,,
"PP, non CC",NSC,EB1A,3/31/16,4/30/16,30,5/19/16,5/19/16,No,WA,5/18/16,34,6/28/16,89,40,89
"PP, non CC",NSC,EB1A,3/31/16,4/30/16,30,5/19/16,5/19/16,No,WA,5/4/16,34,6/28/16,89,40,89
"PP, non CC",NSC,EB1A,3/30/16,  ,19,5/3/16,5/3/16,No,MO,4/22/16,28,6/27/16,89,55,89
"PP, non CC",NSC,EB1A,3/30/16,4/22/16,23,5/4/16,5/4/16,No,KS,4/30/16,31,12/14/16,259,224,259
"PP, non CC",TSC->NSC,EB1A,3/28/16,4/28/16,30,5/12/16,5/3/16,Yes,MD,5/17/16,50,12/28/16,275,239,275
"PP, no CC",NSC,EB1A,3/28/16,4/16/16,19,5/4/16,5/4/16,No,OH,4/28/16,31,Blessing,423,,
"nonPP, non CC",NSC,EB1B,3/28/16,4/29/16,31,5/12/0205,4/30/16,Yes,CA,,,Blessing,423,,
"PP, non CC",NSC,EB1A,3/25/16,4/16/16,22,5/6/16,5/6/16,No,CA,5/17/16,35,10/5/16,194,152,
"PP, non CC",NSC,EB1B,3/25/16,4/15/16,21,5/4/16,5/4/16,No,MD,5/11/16,47,11/17/16,237,197,237
"PP, non CC",NSC,EB1A,3/24/16,4/9/16,16,4/28/16,4/28/16,No,MI,4/22/16,29,6/17/16,85,50,85
"PP, non CC",NSC,EB1A,3/23/16,4/15/16,23,5/3/16,4/22/16,Yes,CA,4/22/16,30,12/16/16,268,238,268
"PP, non CC",NSC,EB1A,3/23/16,4/16/16,24,5/3/16,5/6/16,No,CA,5/4/2016(��_��__��_��__��_��__),41,11/8/16,230,,
"PP, non CC",NSC,EB1A,3/23/16,4/16/16,24,5/3/16,5/6/16,No,CA,5/4/2016(��_��__��_��__��_��__),41,7/11/16,110,66,110
"PP, nonCC",NSC,EB1A,3/21/16,4/9/16,19,4/26/16,4/26/16,No,CA,5/2/16,41,11/17/16,241,205,241
,NSC,EB1A,3/18/16,4/22/16,35,5/4/16,5/4/16,No,NJ,4/22/16,35,12/7/16,264,217,264
PP+CC,NSC,EB1B,3/18/16,4/18/16,31,4/26/16,4/26/16,No,CA,4/22/16,35,Blessing,433,,
"PP, non CC",NSC,EB1B,3/18/16,4/9/16,22,4/28/16,4/18/16,Yes,OH,4/15/16,28,Blessing,433,,
"PP, non CC",NSC,EB1A,3/17/16,4/15/16,29,4/27/16,4/19/16,Yes,CA,4/18/16,32,6/30/16,105,72,105
"nonPP, non CC",NSC,EB1A,3/11/16,4/15/16,29,4/27/16,4/18/16,Yes,OH,5/13/16,60,Blessing,440,,
"PP, nonCC",NSC,EB1B,3/11/16,,,4/19/16,4/19/16,No,CA,4/23/16,43,11/21/16,255,216,255
PP+CC,NSC,EB1B,3/10/16,,,4/8/16,4/8/16,No,IL,4/12/16,33,Blessing,441,,
"upgraded pp, non CC",NSC,EB1A,3/9/16,4/2/16,24,4/21/16,4/12/16,Yes,OH,4/12/16,34,6/17/16,100,66,100
non CC,NSC,EB1A,3/9/16,4/2/16,24,4/21/16,4/12/16,Yes,PA,5/4/16,,Blessing,,,
"nonPP, CC",NSC,EB1C,3/8/16,4/2/16,25,,4/13/16,Yes,"Chicago, IL",4/22/16,45,Blessing,415,,
"update to PP, non CC",NSC,EB1A,3/7/16,4/7/16,31,4/21/16,4/8/16,Yes,CA,4/15/16,39,12/12/16,444,248,280
"PP, no CC",NSC,EB1A,3/7/16,4/1/16,25,4/14/16,4/14/16,No,NY,4/15/16,39,Blessing,444,,
"PP, non CC",NSC,EB1A,3/7/16,4/1/16,25,4/19/16,4/11/16,Yes,NY,4/15/16,39,10/25/16,232,197,232
